Date,Open,High,Low,Close,Volume
2011-07-18,113.97584268061584,115.52312948411067,113.09644828827224,114.6659927368164,6209896
2011-07-19,115.2114506420221,115.54539687576708,113.17437997500835,113.73095703125,17052664
2011-07-20,114.96654784592933,114.96654784592933,111.76065896615958,112.00555419921875,7408644
2011-07-21,112.38403835335491,112.40630279480668,110.09094356104912,110.4916763305664,12881024
2011-07-22,111.3154016570945,112.88494610279835,111.05937759211376,111.66047668457031,12634120
2011-07-25,111.66046806203052,112.76249317099737,110.68089396192242,112.47307586669922,13370428
2011-07-26,112.50648618574674,113.58624702100077,110.2579135461169,110.9035415649414,10581528
2011-07-27,111.17069047196011,112.19479350280507,109.53435274588914,111.77178955078125,11062712
2011-07-28,111.20408994112293,111.20408994112293,107.88689222062878,108.48799133300781,21417956
2011-07-29,109.06682767696566,109.06682767696566,107.10767935254675,108.37667083740234,11990668
2011-08-01,109.85717762618987,110.41375465987377,107.8646291279402,108.64383697509766,8809416
2011-08-02,108.62156676621836,108.62156676621836,106.86278479201371,107.49728393554688,7929976
2011-08-03,106.57336039014307,108.95550573311172,105.97225454794543,107.31916809082031,8330268
2011-08-04,107.77557301335918,108.84419814932689,105.74963134869053,106.07244873046875,7318424
2011-08-05,103.5233156109238,105.9277253848714,101.76453375829989,105.31549072265625,12624376
2011-08-08,103.07807482426637,106.86279895388306,101.97604949239293,102.8777084350586,17233492
2011-08-09,100.18385370144802,105.42680599416283,100.15046044237802,103.40087127685547,17963696
2011-08-10,110.15770469424439,110.15770469424439,105.39340747058739,106.84050750732422,13068904
2011-08-11,106.57335794613994,107.90914263669953,105.74962133596728,106.85164642333984,8409216
2011-08-12,107.99819033400702,108.19855667271868,103.32294405802534,104.20233154296875,11413552
2011-08-16,106.50657705278982,106.50657705278982,101.21909536952063,101.61983489990234,12222592
2011-08-17,101.53077718189515,105.1819278652227,101.49738391955498,104.07990264892578,12536804
2011-08-18,104.25800126143774,105.71623708267235,102.08735095437771,102.9444808959961,22888452
2011-08-19,101.29702693499885,103.1893889766417,100.18387279285601,102.59941864013672,17921036
2011-08-22,102.42130791973396,103.2895735691332,100.3397151495147,100.8628921508789,11908996
2011-08-23,101.83131164636792,102.96672991889858,99.13747800209177,102.27657318115234,16145092
2011-08-24,101.96489963196872,102.94447372811786,100.7404303132442,101.51963806152344,12742456
2011-08-25,102.27658419498081,102.27658419498081,98.11339247291713,98.77014923095703,23200840
2011-08-26,98.84804499095284,100.30627356764106,97.10039238622409,97.72376251220703,8523824
2011-08-29,98.95939403002777,101.95378111147724,98.65884108077975,101.61983489990234,11600396
2011-08-30,102.84430201950408,105.74963127692475,102.14300955571373,105.07061004638672,15589296
2011-09-02,107.75329403312914,107.75329403312914,104.1912016683976,105.25982666015625,15190948
2011-09-05,104.59195208945596,105.52700421152312,103.00014315269084,104.692138671875,11800716
2011-09-06,104.32478149090542,106.06129880105125,102.41015548603183,105.25982666015625,17860792
2011-09-07,105.97226539276046,109.07796790502047,105.27097970119783,108.66609954833984,14746572
2011-09-08,109.02231599576656,109.02231599576656,106.67355675267449,107.68653106689453,8164048
2011-09-09,107.73106350441948,108.13180309807223,104.79234045507005,105.36004638671875,10331416
2011-09-12,103.96858414174409,104.90363622427745,102.96674553652385,104.49176788330078,6985520
2011-09-13,104.85911440039453,105.92773960018945,103.3006986874375,104.12443542480469,7175952
2011-09-14,104.05762774266613,107.55293379129306,102.64392089647042,106.61788177490234,7749008
2011-09-15,108.1762987394441,108.65495357573872,104.99268118255205,107.89801025390625,8736760
2011-09-16,108.25423694400375,109.08910252454876,106.03905755262957,107.68653106689453,10947008
2011-09-19,107.28578131679204,108.42119975726958,106.21715619290308,107.92028045654297,8389220
2011-09-20,107.97594145345407,109.8126456121984,107.53067983921302,109.3896484375,11835268
2011-09-21,109.70133083871933,110.79222044104492,108.73288546335206,110.09093475341797,12891396
2011-09-22,108.62156317302284,108.86645840556731,103.63463473986009,105.14852142333984,10191088
2011-09-23,104.31367451598415,104.63649194283101,100.74045234921498,101.60871124267578,32911224
2011-09-26,101.5196436989745,101.88698315615999,97.83510671659607,100.20612335205078,27785068
2011-09-27,101.96492012993971,102.8331790080233,101.09666125185612,101.84247589111328,16022836
2011-09-28,102.94447893081191,103.60124249807173,100.57346230719287,101.96490478515625,15223752
2011-09-29,101.86472161072352,105.70510297814705,100.77383203040192,104.77005767822266,32532984
2011-09-30,103.71257137013002,105.70511318094306,103.38975395564259,104.1133041381836,19028800
2011-10-03,102.44355694854899,103.50105320403101,100.35082887547824,101.53076934814453,18136236
2011-10-04,100.74042939266349,101.5196371338222,98.068859994405,99.93895721435547,14963192
2011-10-05,99.95011014916797,101.57531243039286,97.18948252395614,97.66814422607422,16534992
2011-10-07,100.78498201148481,102.41018439398871,99.33788157983062,100.18387603759766,18887004
2011-10-10,100.62911116465465,101.96489582613236,100.19497843201353,101.23021697998047,24125984
2011-10-11,102.56600552027525,103.5010507421797,101.33040058518927,101.85358428955078,9987516
2011-10-12,102.84429239464492,104.61420303388475,100.9519307488946,104.00196838378906,17935560
2011-10-13,105.74963434345125,106.01679403208541,104.10216771461546,104.78118896484375,11733404
2011-10-14,104.4138407103467,106.06130720067732,103.60123968411801,105.50473022460938,6670040
2011-10-17,106.10583171658547,106.97409040474462,105.15965089614808,106.42864227294922,7087264
2011-10-18,105.50473160390075,107.17446255393344,105.08173445538966,106.45091247558594,8109020
2011-10-19,107.51955601642318,110.11320368115722,106.70694809732271,109.50096893310547,17378084
2011-10-20,108.643824228221,109.62339833374332,106.99635776063994,108.98889923095703,11353704
2011-10-21,109.10024021510647,109.4898441843593,107.59748204798845,108.42121887207031,9161464
2011-10-24,109.70134306246649,110.6475241035938,107.51956361470505,107.83124542236328,9743092
2011-10-25,108.6104383012653,109.25606626934476,99.86104369113067,104.19121551513672,82630020
2011-10-28,108.19857335932055,110.09093523906175,106.8071308006873,107.4527587890625,18038448
2011-10-31,107.53068041120257,109.47869998386928,106.22828882378906,109.08909606933594,12851416
2011-11-01,107.99822549105404,109.7570078276356,106.86280680986833,107.3748550415039,13299516
2011-11-02,106.57338133157978,108.64384533860898,106.306221617184,107.5529556274414,10111820
2011-11-03,107.08540542207771,107.94253528584578,105.10399283442896,107.27464294433594,10505636
2011-11-04,108.35442985943952,108.62158278432409,106.92958708343966,107.53069305419922,6803220
2011-11-08,107.53068669308814,108.49913212462056,106.5288479971898,107.80897521972656,8392808
2011-11-09,107.97593801667267,108.13178229435786,105.81641653867808,106.25054931640625,8604988
2011-11-11,105.89433182664446,106.50656648713023,102.98900279181841,103.31181335449219,9210036
2011-11-14,104.61421966767735,106.82939901699172,104.40272446778039,104.94816589355469,12228564
2011-11-15,104.79231513132646,106.37298829837758,104.61420642358165,105.13739013671875,11644292
2011-11-16,104.6364630462086,105.08172459108609,102.47694183589202,103.67915344238281,7117600
2011-11-17,103.11147453510631,104.6364971826632,101.6532452175628,102.2654800415039,10777368
2011-11-18,101.34153488524005,102.76637053403812,100.2061165359556,102.03168487548828,11720744
2011-11-21,101.5196434992273,101.5196434992273,97.95755074486844,98.99278259277344,10194036
2011-11-22,99.51596307170206,100.072540046376,97.957547542615,98.85919952392578,15218304
2011-11-23,98.34714639878617,98.34714639878617,92.21367116899586,94.86297607421875,25565636
2011-11-24,95.46406754813172,96.84438098325487,91.56802923271343,95.65330505371094,28885188
2011-11-25,95.23032444810741,96.82213330506636,93.29343377556953,95.93161010742188,18906468
2011-11-28,97.06703635727905,99.05958489007261,96.64403916317663,98.14679718017578,10891716
2011-11-29,98.84807190199257,99.19314691281822,96.22103126730336,96.88892364501953,14831024
2011-11-30,95.55314269713679,100.10593851016108,95.55314269713679,98.51412963867188,28214548
2011-12-01,102.17639893723617,103.96857399398989,100.06140653264751,100.96305847167969,13929784
